Membership No  Date Joined  Active  
    65166      2017-5-13    no    
    58538      2017-7-18    yes   
    98341      2020-1-12    no    
    26891      2019-5-25    yes   
    19909      2019-4-13    no    
    50474      2019-4-22    no    
    76256      2015-10-2    no    
    48309      2018-12-24   no    
    22077      2015-10-14   no    
    34431      2016-4-17    no    
    34658      2015-10-13   no    
    93547      2015-5-8     yes   
    31725      2017-7-9     yes   
    49273      2019-12-19   yes   
    67122      2018-1-12    yes   
    61780      2015-11-16   no    
    35866      2015-5-3     yes   
    79491      2018-6-11    no    
    27565      2017-2-3     yes   
    44249      2015-3-23    yes   
