Membership No  Date Joined  Active  
    28523      2016-11-4    no    
    84608      2020-12-14   no    
    46044      2019-11-9    no    
    88813      2016-12-24   no    
    33063      2015-6-17    no    
    77356      2020-12-18   no    
    52468      2016-1-16    no    
    55686      2020-10-12   no    
    31706      2017-10-12   no    
    92450      2015-7-24    no    
    89750      2019-2-4     no    
    60343      2017-8-3     no    
    24959      2020-9-7     no    
    40896      2015-3-14    no    
